epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783238283.320058000,copy_clean_rep1,before,4630,codex,0.0,0.0,640
1783238283.320058000,copy_clean_rep1,before,20460,trustd,0.0,0.0,5776
1783238283.320058000,copy_clean_rep1,before,20461,trustd,0.0,0.1,9136
1783238283.320058000,copy_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238283.320058000,copy_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238283.320058000,copy_clean_rep1,before,36402,codex,0.0,0.0,672
1783238283.320058000,copy_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238283.320058000,copy_clean_rep1,before,67200,codex,0.0,0.0,7744
1783238283.320058000,copy_clean_rep1,before,72530,syspolicyd,0.8,0.3,55648
1783238283.320058000,copy_clean_rep1,before,72645,syspolicyd,1.9,0.0,2560
1783238283.320058000,copy_clean_rep1,before,88895,trustd,0.3,0.1,16144
1783238283.320058000,copy_clean_rep1,before,89129,trustd,0.0,0.1,14864
1783238283.320058000,copy_clean_rep1,before,97096,codex,0.1,1.7,279584
1783238283.320058000,copy_clean_rep1,before,97226,codex,0.0,0.3,47840
1783238287.632839000,copy_clean_rep1,after,909,codex,0.0,0.0,1616
1783238287.632839000,copy_clean_rep1,after,4630,codex,0.0,0.0,640
1783238287.632839000,copy_clean_rep1,after,20460,trustd,0.0,0.0,5776
1783238287.632839000,copy_clean_rep1,after,20461,trustd,0.0,0.1,9136
1783238287.632839000,copy_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238287.632839000,copy_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238287.632839000,copy_clean_rep1,after,36402,codex,0.0,0.0,672
1783238287.632839000,copy_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238287.632839000,copy_clean_rep1,after,67200,codex,0.0,0.0,7744
1783238287.632839000,copy_clean_rep1,after,72530,syspolicyd,30.3,0.5,75856
1783238287.632839000,copy_clean_rep1,after,72645,syspolicyd,0.4,0.0,2576
1783238287.632839000,copy_clean_rep1,after,88895,trustd,1.6,0.1,16160
1783238287.632839000,copy_clean_rep1,after,89129,trustd,1.7,0.1,14976
1783238287.632839000,copy_clean_rep1,after,97096,codex,0.4,1.7,279552
1783238287.632839000,copy_clean_rep1,after,97226,codex,0.0,0.3,47824
1783238287.653010000,copy_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238287.653010000,copy_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238287.653010000,copy_quarantined_rep1,before,20460,trustd,0.0,0.0,5776
1783238287.653010000,copy_quarantined_rep1,before,20461,trustd,0.0,0.1,9136
1783238287.653010000,copy_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238287.653010000,copy_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238287.653010000,copy_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238287.653010000,copy_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238287.653010000,copy_quarantined_rep1,before,67200,codex,0.0,0.0,7744
1783238287.653010000,copy_quarantined_rep1,before,72530,syspolicyd,19.3,0.5,75856
1783238287.653010000,copy_quarantined_rep1,before,72645,syspolicyd,1.2,0.0,2576
1783238287.653010000,copy_quarantined_rep1,before,88895,trustd,1.0,0.1,16160
1783238287.653010000,copy_quarantined_rep1,before,89129,trustd,1.0,0.1,14976
1783238287.653010000,copy_quarantined_rep1,before,97096,codex,0.2,1.7,279552
1783238287.653010000,copy_quarantined_rep1,before,97226,codex,0.0,0.3,47824
1783238290.771808000,copy_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238290.771808000,copy_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783238290.771808000,copy_quarantined_rep1,after,20460,trustd,0.0,0.0,5776
